Month,Longitude,Latitude,Location,Crimetype,Town,POPULATION
2015-08,-5.933066,54.591086,Dublin Road,ASBO,NA,NA
2017-06,-7.47647,54.787475,Daisy Park,ASBO,NA,NA
2016-03,-5.935054,54.598569,King Street,ASBO,NA,NA
2015-08,-5.963882,54.631466,Tyndale Gardens,VECR,NA,NA
2016-07,-6.223332,54.480173,Meeting Street,ASBO,NA,NA
2017-07,-5.839762,54.63121,Ardnagreena Gardens,VISO,NA,NA
2015-08,-5.896897,54.212198,Shimna Mile,PUBO,NA,NA
2016-04,-6.431276,54.430061,Grantham Park,CDAR,NA,NA
2015-10,-5.930067,54.600182,Rosemary Street,SHOP,NA,NA
2016-07,-6.7399,54.637198,Stewart Avenue,ASBO,NA,NA
2016-05,-7.281825,54.609348,Knockshee Park,CDAR,NA,NA
2015-08,-6.278889,54.864986,George Street,ASBO,NA,NA
2015-11,-6.457149,54.431733,Ballyoran Heights,VISO,NA,NA
2016-11,-6.338295,54.457362,Sloan Street,BURG,NA,NA
2017-10,-5.970893,54.626903,Silverstream Parade,Other theft,NA,NA
2016-12,-6.281757,54.853607,Montague Park,Drugs,NA,NA
2016-08,-6.275444,54.876724,Kew Gardens,VISO,NA,NA
2017-10,-6.21334,54.597041,Gobrana Road,Drugs,NA,NA
2017-01,-6.068101,54.528429,The Oaks,Other theft,NA,NA
2017-06,-5.948576,54.688433,Beverley Road,VISO,NA,NA
2017-12,-6.657198,54.499357,Ballynakilly Road,VISO,NA,NA
2015-02,-5.95079,54.598612,Conway Street,ROBY,NA,NA
2017-01,-5.933366,54.592484,Downshire Place,ASBO,NA,NA
2016-01,-6.102617,54.700269,Castleton,CDAR,NA,NA
2017-09,-6.780518,54.507447,Springdale,ASBO,NA,NA
2015-05,-5.951225,54.580092,Meadowbank Street,ASBO,NA,NA
2017-07,-5.674846,54.660754,Bryansburn Road,Other theft,NA,NA
2016-02,-7.596329,54.717292,Castlefin Road,OTCR,NA,NA
2015-03,-6.370055,54.467605,Knockramer Meadows,ASBO,NA,NA
2016-11,-5.906352,54.586431,Ravenhill Avenue,CDAR,NA,NA
2016-03,-5.922547,54.622947,Shore Road,VISO,NA,NA
2017-10,-5.950249,54.608459,Jaffa Street,ASBO,NA,NA
2015-12,-5.93642,54.639779,Antrim Road,VECR,NA,NA
2016-09,-6.273686,54.742835,M22,BURG,NA,NA
2016-06,-7.609489,54.356684,Sycamore Drive,ASBO,NA,NA
2017-08,-6.64337,54.490416,Tamnamore Close,VISO,NA,NA
2016-01,-5.93594,54.611343,Antrim Road,VECR,NA,NA
2017-09,-6.203567,54.72294,Bush Park,VISO,NA,NA
2017-12,-5.827365,54.733194,Meadow Hill,Other theft,NA,NA
2016-08,-6.221873,54.803934,Fernisky Park,ASBO,NA,NA
2015-01,-6.32004,54.749964,Main Street,VISO,NA,NA
2015-08,-6.608738,54.077323,Cardinal O'Fiaich Square,VISO,NA,NA
2016-02,-5.945368,54.614702,Roseleigh Street,CDAR,NA,NA
2016-09,-6.011557,54.752807,Grange Drive,VISO,NA,NA
2016-09,-5.980845,54.591686,Ballymurphy Road,OTCR,NA,NA
2017-03,-5.91548,54.657552,Merville Garden Village,ASBO,NA,NA
2015-10,-5.924968,54.600625,High Street,OTCR,NA,NA
2015-02,-7.320497,55.006962,Rock Terrace,Other theft,NA,NA
2016-06,-5.885337,54.400942,Hillfoot Crescent,ASBO,NA,NA
2015-10,-7.318121,54.993133,Bridge Street,Drugs,NA,NA
2016-08,-6.779061,54.346511,Esker Park,ASBO,NA,NA
2015-09,-6.215203,54.619189,Orchard Hill,VISO,NA,NA
2017-11,-6.271199,54.852505,Lettercreeve,CDAR,NA,NA
2015-07,-6.474389,54.873017,Cullybackey Road,ASBO,NA,NA
2015-06,-6.276436,54.860423,James Street,ASBO,NA,NA
2017-05,-5.928439,54.613038,Glenrosa Street,VISO,NA,NA
2017-05,-6.457163,54.430934,Garvaghy Park,VISO,NA,NA
2015-10,-5.895814,54.601487,Connswater Grove,ASBO,NA,NA
2015-12,-5.937646,54.597813,Killen Street,VECR,NA,NA
2015-11,-6.394245,54.462772,Kilvergan Road,Other theft,NA,NA
2016-06,-5.905355,54.593503,The Mount,ASBO,NA,NA
2016-12,-6.338279,54.464621,Rectory Road,VISO,NA,NA
2017-10,-6.7738,54.503417,William Street,VISO,NA,NA
2017-12,-6.065904,54.519355,Lenwood Hill,ASBO,NA,NA
2016-10,-6.700607,54.541508,Ardnaskea Drive,Drugs,NA,NA
2015-09,-7.343375,55.015702,Gweebara Park,VISO,NA,NA
2017-06,-6.676244,54.575751,Loughview Close,Other theft,NA,NA
2015-07,-7.570955,54.520635,Tedd Road,Other theft,NA,NA
2016-05,-5.940605,54.600811,Fingals Court,ASBO,NA,NA
2015-03,-5.689548,54.589322,Lamont Avenue,Other theft,NA,NA
2017-10,-6.178493,54.7058,Oakburn,ASBO,NA,NA
2016-07,-5.9333,54.597155,Wellington Place,VISO,NA,NA
2016-09,-5.934292,54.600173,Berry Street,SHOP,NA,NA
2016-09,-6.273368,54.859687,Waring Street,CDAR,NA,NA
2015-10,-5.923999,54.598389,Victoria Square,CDAR,NA,NA
2016-09,-5.678936,54.653186,Chester Park,VISO,NA,NA
2015-08,-5.947486,54.252687,O'Donnell Close,Other theft,NA,NA
2017-11,-5.934882,54.589437,Donegall Road,VISO,NA,NA
2016-11,-5.890031,54.592104,Abetta Parade,CDAR,NA,NA
2017-04,-5.50465,54.58121,Ballywalter Road,Drugs,NA,NA
2017-11,-6.025042,54.57521,Suffolk Rise,ASBO,NA,NA
2015-05,-5.712698,54.755794,Alexandra Avenue,VISO,NA,NA
2015-11,-5.952107,54.695617,The Glade,CDAR,NA,NA
2016-09,-5.797764,54.586974,Enler Park West,CDAR,NA,NA
2016-02,-5.941804,54.258009,Main Street,VISO,NA,NA
2015-02,-7.656755,54.531554,Villa Terrace,VISO,NA,NA
2017-04,-6.335466,54.466271,Clara Street,ASBO,NA,NA
2016-11,-7.31798,54.995944,Foyle Street,VISO,NA,NA
2016-02,-6.653657,54.345886,Dobbin Street,VISO,NA,NA
2015-11,-5.940606,54.60294,Boundary Street,VISO,NA,NA
2015-10,-5.626645,54.658039,Sherwood Road,ASBO,NA,NA
2016-06,-6.66828,55.131377,Society Street,CDAR,NA,NA
2016-08,-5.891343,54.2222,Burrendale Park Road,ASBO,NA,NA
2015-10,-5.904914,54.582497,Pirrie Park Gardens,CDAR,NA,NA
2017-10,-6.053466,54.510045,Governors Rd Roundabout,ASBO,NA,NA
2017-04,-5.924374,54.63996,Parkmount Terrace,ASBO,NA,NA
2016-04,-5.915863,54.59195,Ravenhill Reach Court,CDAR,NA,NA
2017-09,-5.917762,54.6923,Monkstown Road,Other theft,NA,NA
2016-06,-5.699919,54.595567,Thomas Street,ASBO,NA,NA
2017-11,-7.631701,54.344428,Forthill Road,ASBO,NA,NA
2016-08,-5.906281,54.680027,Abbeycroft Road,ASBO,NA,NA
2015-06,-7.310418,54.598833,Great Northern Road,ASBO,NA,NA
2016-04,-7.474656,54.787117,Marshalls Row,OTCR,NA,NA
2016-05,-5.9336,54.5946,Amelia Street,Other theft,NA,NA
2016-10,-7.329923,55.030252,Galliagh Park,CDAR,NA,NA
2017-10,-7.26164,54.624112,Waterworks Road,VECR,NA,NA
2016-06,-5.943706,54.627082,Old Westland Road,Other theft,NA,NA
2017-05,-6.355191,54.147027,Seavers Road,CDAR,NA,NA
2015-05,-7.467098,54.822827,Chestnut Grove,CDAR,NA,NA
2016-12,-5.923271,54.626661,York Crescent,CDAR,NA,NA
2017-12,-6.320588,54.190809,Drumcashel Villas,ASBO,NA,NA
2017-01,-6.252615,54.789655,Tavnaghmore Road,BURG,NA,NA
2016-07,-6.273416,54.848359,Shancoole,ASBO,NA,NA
2017-07,-5.900216,54.59805,Belvoir Street,VISO,NA,NA
2016-09,-6.047071,54.517534,Magheralave Road,VISO,NA,NA
2015-11,-5.956815,54.613656,Flax Street,VISO,NA,NA
2015-03,-6.057336,54.516343,Thornleigh Drive,ASBO,NA,NA
2015-10,-6.046269,54.480961,Highgrove,ASBO,NA,NA
2015-12,-5.928221,54.608794,Earl Close,Other theft,NA,NA
2016-04,-6.019213,54.564036,Stewartstown Road,VISO,NA,NA
2015-09,-5.932635,54.591645,Ventry Street,Other theft,NA,NA
2017-09,-6.275256,54.359021,Lurgan Road,ASBO,NA,NA
2016-06,-5.975179,54.591134,Whiterock Drive,ASBO,NA,NA
2016-11,-5.960744,54.631045,Ballysillan Road,BITH,NA,NA
2016-03,-6.186919,54.719332,Norfolk Court,ASBO,NA,NA
2016-03,-7.643856,54.347106,Castle Street,VISO,NA,NA
2015-10,-6.91354,54.923195,O'Cahan Place,VISO,NA,NA
2017-11,-7.616043,54.328451,Killyhevlin Park,ASBO,NA,NA
2015-06,-5.929684,54.602853,Academy Street,ASBO,NA,NA
2015-02,-6.946454,55.045852,Mullagh Place,ASBO,NA,NA
2017-03,-7.32043,55.011812,Dunvale Close,ASBO,NA,NA
2017-07,-5.910525,54.597393,Anderson Court,VISO,NA,NA
2016-07,-6.663686,55.133707,Railway Place,ASBO,NA,NA
2016-09,-6.356819,54.448424,Drumbeg,Other theft,NA,NA
2015-03,-5.962251,54.600908,Colinward Street,VISO,NA,NA
2017-12,-6.142253,54.47226,Moira Road,VISO,NA,NA
2017-12,-5.704123,54.595925,Corry Street,ASBO,NA,NA
2015-06,-6.023269,54.772262,Sawmill Road,Drugs,NA,NA
2016-04,-6.264359,54.859864,Barra Drive,VECR,NA,NA
2016-12,-7.320825,55.029115,Fern Park,VISO,NA,NA
2016-12,-5.944305,54.579912,Windsor Avenue,VECR,NA,NA
2017-01,-6.508942,54.868792,Beechland Park,ASBO,NA,NA
2017-05,-5.931179,54.593507,Bedford Street,VISO,NA,NA
2016-11,-5.987066,54.597936,Moyard Parade,VISO,NA,NA
2016-04,-6.004472,54.561934,Garnock Hill,ASBO,NA,NA
2017-02,-7.460474,54.824891,Barrack Street,ASBO,NA,NA
2015-11,-6.951585,55.047073,Roe Mill Walk,VISO,NA,NA
2015-02,-6.525692,55.064273,Ballybrakes Road,BURG,NA,NA
2016-10,-5.867011,54.607119,Carolhill Park,ASBO,NA,NA
2016-01,-7.319792,54.596147,Tamlaght Road,VISO,NA,NA
2017-12,-5.993975,54.580485,Coolnasilla Park East,CDAR,NA,NA
2015-10,-5.668506,54.659688,Market Street,ASBO,NA,NA
2016-08,-6.235804,54.475387,Waringfield Avenue,ASBO,NA,NA
2017-01,-6.220818,54.732709,Durnish Road,ASBO,NA,NA
2015-02,-6.037326,54.507232,Ballynahinch Road,VISO,NA,NA
2017-02,-6.038693,54.514784,Wallace Avenue,CDAR,NA,NA
2017-08,-5.998258,54.750971,Main Street,CDAR,NA,NA
2015-03,-7.322371,55.001493,Asylum Road,CDAR,NA,NA
2017-03,-5.932781,54.587541,Botanic Avenue,VECR,NA,NA
2017-05,-5.863767,54.694703,Longfield Gardens,ASBO,NA,NA
2016-04,-5.844115,54.862346,Ardclinis Gardens,CDAR,NA,NA
2016-10,-6.061684,54.500527,Lagan Walk,ASBO,NA,NA
2015-09,-6.359395,54.183132,Parkhead Crescent,CDAR,NA,NA
2017-08,-6.114747,54.668537,Seven Mile Straight,BURG,NA,NA
2017-06,-5.899389,54.59516,Chatsworth Street,VISO,NA,NA
2016-12,-5.898016,54.596592,Chamberlain Street,CDAR,NA,NA
2015-07,-7.317702,54.98837,Victoria Road,Other theft,NA,NA
2017-05,-6.336354,54.17861,Basin Quay,Drugs,NA,NA
2015-06,-6.665436,54.345909,Nursery Mews,ASBO,NA,NA
2017-01,-7.643201,54.348164,Queen Street,Other theft,NA,NA
2015-05,-5.936644,54.59192,Sandy Row,VECR,NA,NA
2017-01,NA,NA,No Location,OTCR,NA,NA
2016-01,-6.650306,54.347735,The Mall West,SHOP,NA,NA
2017-03,-5.974553,54.611519,Forthriver Pass,ASBO,NA,NA
2017-03,-6.02177,54.557528,Glasvey Crescent,Other theft,NA,NA
2016-09,-6.926523,55.048786,Knockanbaan,Other theft,NA,NA
2015-03,-5.888846,54.398883,Craigs Road,ASBO,NA,NA
2016-11,-5.917659,54.657976,Merville Garden Village,ASBO,NA,NA
2015-06,-5.702485,54.584617,Jubilee Road,BURG,NA,NA
2016-07,-5.939027,54.62622,Kenbella Parade,CDAR,NA,NA
2017-02,-5.928256,54.6014,Donegall Street,ASBO,NA,NA
2017-05,-5.895052,54.587762,Castlereagh Road,SHOP,NA,NA
2017-03,-5.95396,54.597731,Dunlewey Street,CDAR,NA,NA
2017-03,-5.96736,54.626322,Ballysillan Road,BURG,NA,NA
2015-03,-5.717826,54.327056,Market Street,VISO,NA,NA
2015-12,-6.389303,54.451548,Lakelands,SHOP,NA,NA
2015-09,-5.936466,54.58658,Claremont Street,BURG,NA,NA
2016-05,-7.324298,55.035557,Fernabbey Drive,VISO,NA,NA
2015-02,-6.342764,54.463541,Prospect Way,VISO,NA,NA
2016-07,-5.83573,54.640914,Hibernia Street,VISO,NA,NA
